filepath,theta,phi,turbidity,exposure,elevation,fov
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2s1RGKVIhX19_nOGqEIOqw_B.png,135.4683611,59.82804974,3.5,0.047776,3.58,95
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2SbA2wcIcmXn3l23DcZYwA_F.png,-66.12042143,61.28793026,4.5,0.03376,6.09,88.9
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2SbA2wcIcmXn3l23DcZYwA_B.png,113.8795786,52.09793026,4.5,0.03376,-3.1,79.98
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2sls6AhatCYOSXnVLOBRsA_F.png,-141.843826,49.6380902,4,0.034951,0.13,97.79
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2sls6AhatCYOSXnVLOBRsA_B.png,38.15617404,56.1580902,4,0.034951,6.65,94.59
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2STI9SGJTpV8N4PsgwQHNg_F.png,174.605076,67.44547036,4.5,0.050203,-1.34,65.03
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2STI9SGJTpV8N4PsgwQHNg_B.png,-5.394924,72.54547036,4.5,0.050203,3.76,76.9
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2T4YuvNvk_BwkzM18YMEvw_F.png,-127.8231542,55.09413126,3.5,0.03882,6.88,67.56
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2T4YuvNvk_BwkzM18YMEvw_B.png,52.17684585,51.37413126,3.5,0.03882,3.16,95.15
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2TH0OApGrz-1am9TR4I75Q_F.png,-105.4174259,50.20149879,4,0.032988,-8.58,62.08
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2TH0OApGrz-1am9TR4I75Q_B.png,74.58257411,52.46149879,4,0.032988,-6.32,64.43
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2uTQX8GZ14_it50y4azliw_F.png,-30.85494635,49.27249694,3.5,0.047352,-3.78,61.14
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2uTQX8GZ14_it50y4azliw_B.png,149.1450536,54.75249694,3.5,0.047352,1.7,98.33
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2Uw2lfvL7emroJcEEB-w6g_F.png,28.73699422,49.62411743,4,0.028811,2,80.97
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2Uw2lfvL7emroJcEEB-w6g_B.png,-151.2630058,49.01411743,4,0.028811,1.39,77.21
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2UWb8R_5kHXRS0OL7OQVVw_F.png,8.665509045,43.53698138,4,0.026788,-1.78,99.53
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2UWb8R_5kHXRS0OL7OQVVw_B.png,-171.334491,50.18698138,4,0.026788,4.87,93.36
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2uxOFI0Q_mvuLaVzh2cMFg_F.png,-54.67042535,62.4010405,3.5,0.048057,5.3,82.37
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2uxOFI0Q_mvuLaVzh2cMFg_B.png,125.3295746,47.6610405,3.5,0.048057,-9.44,76.7
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2UzreVqHc6ofkpu2uotVnA_F.png,161.9049692,59.57346313,3.5,0.055295,1.63,65.38
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2UzreVqHc6ofkpu2uotVnA_B.png,-18.09503078,48.30346313,3.5,0.055295,-9.64,74.73
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2VhU4Oq3Jlp4B7GcPxhv8Q_F.png,21.46894054,47.33652041,3,0.057312,-5.71,81.5
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2VhU4Oq3Jlp4B7GcPxhv8Q_B.png,-158.5310595,46.99652041,3,0.057312,-6.05,77.19
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2vNHblAKa66qgv_AfJM3dg_F.png,-50.92792382,62.94089597,4,0.046816,-0.6,62.88
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2vNHblAKa66qgv_AfJM3dg_B.png,129.0720762,67.83089597,4,0.046816,4.29,63.25
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2vOwtbwW5XHNa6U_i8hQcg_F.png,-100.2614434,61.7289761,4,0.032948,9.88,69.71
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2vOwtbwW5XHNa6U_i8hQcg_B.png,79.73855659,57.7189761,4,0.032948,5.87,75.21
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2vxXILglc0RR6e4ScDt2iw_F.png,-106.9434081,81.51567124,4,0.032959,-2.23,84.68
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2vxXILglc0RR6e4ScDt2iw_B.png,-106.9434081,87.83432876,4,0.032959,8.42,70.84
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2w9Hp9RD6mYDm_ADGfmIuA_F.png,-110.4350422,53.18034095,3.5,0.054871,7.04,88.37
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2w9Hp9RD6mYDm_ADGfmIuA_B.png,69.56495776,36.46034095,3.5,0.054871,-9.68,79.05
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2Wfrzcknzw6dr72PWm7fHw_F.png,159.0923559,60.92532692,3.5,0.048006,1.89,93.54
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2Wfrzcknzw6dr72PWm7fHw_B.png,-20.90764408,66.80532692,3.5,0.048006,7.77,61.97
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2WI9HxPHeki5HPzAVW7QmA_F.png,179.2639928,67.45249852,4.5,0.033855,1.88,86.07
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2WI9HxPHeki5HPzAVW7QmA_B.png,-0.736007229,69.54249852,4.5,0.033855,3.97,66.26
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2xdJzSNGEkf-uSzGgZ8_Qw_F.png,6.545511244,43.91714093,3.5,0.043029,-8.6,89.17
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2xdJzSNGEkf-uSzGgZ8_Qw_B.png,-173.4544888,48.65714093,3.5,0.043029,-3.86,77
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2Xnu5DNaQgkBLGfL-QPRSw_F.png,-33.26726806,49.41734885,3.5,0.04909,-9.62,73.91
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2Xnu5DNaQgkBLGfL-QPRSw_B.png,146.7327319,54.53734885,3.5,0.04909,-4.5,78.47
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2y8zViL15qEid3bh7JgGPQ_F.png,-156.0935634,81.13203168,4,0.033894,4.72,97.61
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2y8zViL15qEid3bh7JgGPQ_B.png,23.9064366,85.49203168,4,0.033894,9.08,71.3
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2yb24bJH4_rvrTRixIZvZQ_F.png,-58.32355922,71.84878749,4.5,0.033787,-0.34,88.98
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2yb24bJH4_rvrTRixIZvZQ_B.png,121.6764408,64.24878749,4.5,0.033787,-7.94,78.52
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2yCT4SOokXE68SbnhHnpEQ_F.png,48.36179718,73.81761338,4.5,0.027413,4.11,93.97
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2yCT4SOokXE68SbnhHnpEQ_B.png,-131.6382028,69.86761338,4.5,0.027413,0.16,63.8
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2YiPmDbwVOfWpIOzIb6q7w_F.png,-127.5848136,81.22816624,4,0.036182,3.82,85.72
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2YiPmDbwVOfWpIOzIb6q7w_B.png,52.41518636,82.63816624,4,0.036182,5.23,84.7
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2YLHXmR0LY9jJAL3R1WwEw_F.png,-8.942799662,56.04648228,3.5,0.04243,-6.32,90.99
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2YLHXmR0LY9jJAL3R1WwEw_B.png,171.0572003,53.62648228,3.5,0.04243,-8.74,82.17
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2z6_5RzlyiZqVb4ozBoIWw_F.png,-161.1334215,78.9284624,4.5,0.031798,3.05,97.64
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2z6_5RzlyiZqVb4ozBoIWw_B.png,18.86657845,79.4884624,4.5,0.031798,3.61,91.79
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2ZdG3Eo6lf-RAcuRaR0KgQ_F.png,-10.26363984,62.90320452,3.5,0.049914,-1.17,88.63
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2ZdG3Eo6lf-RAcuRaR0KgQ_B.png,169.7363602,67.57320452,3.5,0.049914,3.5,78.37
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2ZQVzd-NJobSKMOZHkr39g_F.png,171.4064983,61.99586858,4.5,0.028402,-5.73,84.11
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2ZQVzd-NJobSKMOZHkr39g_B.png,-8.593501667,73.24586858,4.5,0.028402,5.52,89.8
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2ZSrFMuEK0lYuTtSqauI7A_F.png,72.25308821,68.26269854,4.5,0.030253,5.4,75.38
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2ZSrFMuEK0lYuTtSqauI7A_B.png,-107.7469118,60.10269854,4.5,0.030253,-2.76,93.53
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_-Q8xCu7zsRA3yZ78tjkQ_F.png,177.7474874,57.79188985,3.5,0.040214,-5.79,64.71
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_-Q8xCu7zsRA3yZ78tjkQ_B.png,-2.252512584,68.95188985,3.5,0.040214,5.37,94.77
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_5qqlMfcjV_qv8ZfaY1sg_F.png,-23.9771794,68.00439064,3,0.05113,5.86,78.46
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_5qqlMfcjV_qv8ZfaY1sg_B.png,156.0228206,58.26439064,3,0.05113,-3.88,94.83
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_7EFPxh6jPHxbs2F3WArg_F.png,151.4107417,55.36231519,4,0.047554,-7.96,87.83
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_7EFPxh6jPHxbs2F3WArg_B.png,-28.5892583,59.81231519,4,0.047554,-3.51,69.18
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_cdtOMSWoMB5iFD3C653A_F.png,-143.7133852,40.15560043,2,0.041212,8.24,78.04
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_cdtOMSWoMB5iFD3C653A_B.png,36.28661483,35.27560043,2,0.041212,3.36,90.13
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_frMXF1IQZQncRriVqMXA_F.png,-131.8816446,34.69129381,3,0.033532,0.66,66.92
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/2_frMXF1IQZQncRriVqMXA_B.png,48.11835544,40.74129381,3,0.033532,6.71,74.91
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3-lLWYOiKFGbxGvNvAi-rg_F.png,-78.06792173,41.6341936,3.5,0.031687,-1.26,61.1
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3-lLWYOiKFGbxGvNvAi-rg_B.png,101.9320783,51.6241936,3.5,0.031687,8.73,86.94
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3-ntsslwpdhjmtjxfCwUXQ_F.png,-91.52734241,59.51298582,5.5,0.030297,-2.1,75.61
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3-ntsslwpdhjmtjxfCwUXQ_B.png,88.47265759,53.74298582,5.5,0.030297,-7.87,80.91
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3-Q47_tRAG78jXeRmeOZuw_F.png,-64.33386073,58.14196597,4.5,0.029816,-2.46,89.38
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3-Q47_tRAG78jXeRmeOZuw_B.png,115.6661393,66.93196597,4.5,0.029816,6.33,66.7
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/302f2sAtK47EKz6T26uMgA_F.png,65.93798605,78.14760906,3.5,0.038243,-5.16,87.25
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/302f2sAtK47EKz6T26uMgA_B.png,-114.0620139,78.93760906,3.5,0.038243,-4.37,97.04
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/305D2BLvYcuAbyfAfaEhEQ_F.png,-41.33071914,51.52419316,3.5,0.045618,-0.33,61.29
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/305D2BLvYcuAbyfAfaEhEQ_B.png,138.6692809,48.58419316,3.5,0.045618,-3.27,86.25
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/30MA43xaWgtYRq9Gq_G6IA_F.png,85.42540975,63.06450684,4.5,0.029033,6.09,85.83
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/30MA43xaWgtYRq9Gq_G6IA_B.png,-94.57459025,47.92450684,4.5,0.029033,-9.05,82.21
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/30pZz1mWHVhhHW_4KyVyGw_F.png,-68.67005944,59.58366524,4.5,0.031365,-2.01,99.34
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/30pZz1mWHVhhHW_4KyVyGw_B.png,111.3299406,67.54366524,4.5,0.031365,5.95,85.79
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/30vpo5blt4qxh2dU8WwuXA_F.png,-178.2571931,57.66579562,4,0.040507,-4.7,86.35
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/30vpo5blt4qxh2dU8WwuXA_B.png,1.742806925,71.70579562,4,0.040507,9.34,73.69
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/31iupXEaAriQAt2QnX7WjA_F.png,-179.9586834,78.29876662,4,0.031584,-0.77,67.95
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/31iupXEaAriQAt2QnX7WjA_B.png,0.041316622,84.81876662,4,0.031584,5.75,73.65
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/31vp0qi-73nYQSGiwce7AQ_F.png,57.43676207,68.76472275,4.5,0.029184,-7.69,97.07
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/31vp0qi-73nYQSGiwce7AQ_B.png,-122.5632379,86.17472275,4.5,0.029184,9.72,96.82
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/32d8zZGA_7qH14YR_M3qrA_F.png,152.7444656,48.4479459,3.5,0.046573,-9.68,65.44
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/32d8zZGA_7qH14YR_M3qrA_B.png,-27.25553435,52.4579459,3.5,0.046573,-5.67,66.17
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/32dKOOk_Ms2thLbE36J0xQ_F.png,-160.9790497,51.22553733,3,0.040643,5.5,98.86
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/32dKOOk_Ms2thLbE36J0xQ_B.png,19.02095031,37.40553733,3,0.040643,-8.32,62.1
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/32HAoFic6rrdeBREARsMDA_F.png,109.377422,36.11997404,3.5,0.053224,-6.1,66
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/32HAoFic6rrdeBREARsMDA_B.png,-70.62257802,39.67997404,3.5,0.053224,-2.54,68.33
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/32snENV47VJoe7vIFweU0g_F.png,-107.9106425,39.44581339,4,0.038824,-7.86,86.79
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/32snENV47VJoe7vIFweU0g_B.png,72.08935752,47.71581339,4,0.038824,0.41,96.97
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/341gFx4RbL8y5BCtvrFNEg_F.png,31.24445622,75.53536959,4,0.037392,-3.31,67.22
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/341gFx4RbL8y5BCtvrFNEg_B.png,-148.7555438,70.40536959,4,0.037392,-8.44,88.68
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/34jaXLRDmrocrIIHKFff6g_F.png,-92.93293864,64.72486406,4.5,0.02957,1.44,64.9
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/34jaXLRDmrocrIIHKFff6g_B.png,87.06706136,64.68486406,4.5,0.02957,1.4,81.4
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/34UbWM8yH6DhpeP5m_W9dA_F.png,-37.20769444,37.6539679,2.5,0.049558,1.07,75.67
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/34UbWM8yH6DhpeP5m_W9dA_B.png,142.7923056,34.2339679,2.5,0.049558,-2.35,89.84
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/36AmW_ZcFFZZV06rgMCW4g_F.png,130.5397479,57.59138853,4,0.03145,2.87,71.82
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/36AmW_ZcFFZZV06rgMCW4g_B.png,-49.4602521,50.58138853,4,0.03145,-4.14,95.95
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/36D9AOK8jZFfIzwTGoBoNA_F.png,-177.7892383,48.58347243,4,0.030063,0.95,66.11
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/36D9AOK8jZFfIzwTGoBoNA_B.png,2.21076168,47.02347243,4,0.030063,-0.61,66.64
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/38oANPk2zHEABvLaxDGPvw_F.png,143.4858093,59.66582032,3.5,0.050158,-2.47,71.27
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/38oANPk2zHEABvLaxDGPvw_B.png,-36.5141907,55.53582032,3.5,0.050158,-6.6,66.37
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3a9iN4UDw94xo8fCRDZcrQ_F.png,12.26153155,61.56861083,3.5,0.045552,-2.01,82.05
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3a9iN4UDw94xo8fCRDZcrQ_B.png,-167.7384684,59.68861083,3.5,0.045552,-3.89,84.23
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3aOltLaTpKJcQsHFqqPqIQ_F.png,171.8142842,81.47878717,4.5,0.027158,-0.68,80.89
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3aOltLaTpKJcQsHFqqPqIQ_B.png,171.8142842,88.73121283,4.5,0.027158,9.11,65.52
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3b2zgEr8Pb0JH9X8YRPdvg_F.png,168.6671392,57.59942932,3.5,0.044183,5.22,95.96
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3b2zgEr8Pb0JH9X8YRPdvg_B.png,-11.33286077,55.28942932,3.5,0.044183,2.91,77.62
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3bQSZFtAofuI-aGprrkseQ_F.png,-177.9372176,69.14500297,4.5,0.033601,-7.72,68.94
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3bQSZFtAofuI-aGprrkseQ_B.png,2.062782412,78.92500297,4.5,0.033601,2.06,94.37
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3bvU8YeHHEYpp9TiVz4sSg_F.png,104.3256776,63.92874255,4,0.036475,2.66,82.31
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3bvU8YeHHEYpp9TiVz4sSg_B.png,-75.67432236,64.87874255,4,0.036475,3.61,66.93
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3cu1I7VaVCVfkoc1240txA_F.png,-143.9591067,42.42519425,4,0.041252,-8.9,60.22
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3cu1I7VaVCVfkoc1240txA_B.png,36.04089333,54.98519425,4,0.041252,3.66,94.11
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3d23_MI-_wfBD2hNCDBSzw_F.png,-18.85029821,63.54943638,3,0.054795,0.73,83.85
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3d23_MI-_wfBD2hNCDBSzw_B.png,161.1497018,69.83943638,3,0.054795,7.02,89.46
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3dIienOnCX3k-oDi2HeKYg_F.png,-67.32547018,71.84077309,4.5,0.03111,-6.52,73.97
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3dIienOnCX3k-oDi2HeKYg_B.png,112.6745298,83.37077309,4.5,0.03111,5.01,82.91
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3dZ8XiBUPx_6SCB8S1soDg_F.png,-105.5509189,46.62476015,3.5,0.039673,1.99,74.47
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3dZ8XiBUPx_6SCB8S1soDg_B.png,74.4490811,51.20476015,3.5,0.039673,6.57,77.85
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3FrGNH8ZgUn2CeDc7zj23w_F.png,-167.3274416,30.18607619,2.5,0.048228,-9.5,95.88
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3FrGNH8ZgUn2CeDc7zj23w_B.png,12.67255837,45.65607619,2.5,0.048228,5.97,78.3
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3FzqYF0rGEyqkoD8oc04IA_F.png,-24.87614583,70.09733516,3.5,0.038927,-5.59,66.5
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3FzqYF0rGEyqkoD8oc04IA_B.png,155.1238542,71.33733516,3.5,0.038927,-4.35,66.31
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3g1_KemqfUkXlodVtW1cxg_F.png,34.08476281,51.32069268,4,0.034706,-6.83,95.41
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3g1_KemqfUkXlodVtW1cxg_B.png,-145.9152372,61.78069268,4,0.034706,3.63,99.7
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3GNKGaXhbxhljLyRPYTbZg_F.png,57.75613708,73.79907997,4,0.035094,-3.07,71.83
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3GNKGaXhbxhljLyRPYTbZg_B.png,-122.2438629,75.10907997,4,0.035094,-1.76,70.15
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3H-XoZ3snPUkCtrlNFd4Ng_F.png,-154.2537145,50.79357715,2.5,0.043944,9.06,71.39
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3H-XoZ3snPUkCtrlNFd4Ng_B.png,25.74628551,50.78357715,2.5,0.043944,9.05,86.99
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3hgu-ep2WC3_RBq5ZRgm8g_F.png,135.8532943,51.869589,3.5,0.046609,-4.84,83.86
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3hgu-ep2WC3_RBq5ZRgm8g_B.png,-44.14670571,64.709589,3.5,0.046609,8,68.02
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3HLqr17JUBMi7_uPAsfVuQ_F.png,178.0868956,50.01304699,3.5,0.05079,-9.41,92.03
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3HLqr17JUBMi7_uPAsfVuQ_B.png,-1.913104353,53.68304699,3.5,0.05079,-5.74,73.72
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3HmzwlXBZE8gObhfvJaKEw_F.png,-36.75108352,65.93325634,5.5,0.023046,2.64,78.15
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3HmzwlXBZE8gObhfvJaKEw_B.png,143.2489165,55.22325634,5.5,0.023046,-8.07,87.68
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3HPgYn693AhmVTWAfySTfg_F.png,137.9230054,37.49290216,2.5,0.053973,-2.51,63.48
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3HPgYn693AhmVTWAfySTfg_B.png,-42.07699461,46.44290216,2.5,0.053973,6.44,62.68
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3HWdx7ZgOXH9ge4QEKvinQ_F.png,-59.95308439,51.2762004,4.5,0.030356,-0.6,87.55
C://Users/caiyx/Desktop/dashcam-illumination-estimation-master/data/train/3HWdx7ZgOXH9ge4QEKvinQ_B.png,120.0469156,51.9962004,4.5,0.030356,0.12,61.9
